ohio	abroad
Antwerp	Antwerp, Belgium
Toronto	Toronto, Ontario, Canada
Truro Township	Truro, Nova Scotia, Canada
Canton	Guangzhou, China
Cairo	Cairo, Egypt
Belfort	Belfort, France
Pyrmont	Bad Pyrmont, Germany
Bonn	Bonn, Germany
Glandorf	Glandorf, Germany
Leipsic	Leipzig, Germany
New Riegel	Riegel, Germany
Winesburg	Weinsberg, Germany
Athens	Athens, Greece
Calcutta	Calcutta, India
Mantua	Mantua, Italy
Milan	Milano, Italy
Padua	Padua, Italy
Parma	Parma, Italy
Ravenna	Ravenna, Italy
Matamoras	Matamoros, Mexico
Parral	Parral, Mexico
Mogadore	Essaouira, Morocco
Amsterdam	Amsterdam, Netherlands
Lima	Lima, Peru
Medina	Medina, Saudi Arabia
Cadiz	Cadiz, Spain
Carthagena	Cartegena, Spain
Seville	Seville, Spain
Toledo	Toledo, Spain
Maria Stein	Metzerlen-Mariastein, Switzerland
Bexley	Bexley, United Kingdom
Kimbolton	Kimbolton, United Kingdom
Oxford	Oxford, United Kingdom
Stockport	Stockport, United Kingdom
Antrim	Antrim, United Kingdom
Berea	Veria, Greece
Cheviot	Cheviot Hills, United Kingdom
Dublin	Dublin, Ireland
East Liverpool	Liverpool, United Kingdom
Vienna	Vienna, Austria
Mecca Township	Mecca, Saudi Arabia
Delhi	Delhi, India
Warsaw	Warsaw, Poland
Strasburg	Strasbourg, France
Lisbon	Lisbon, Portugal
Damascus	Damascus, Syria
Dresden	Dresden, Germany
Versailles	Versailles, France
