ohio,abroad,ohio_lon,ohio_lat,abroad_lon,abroad_lat
Antwerp,"Antwerp, Belgium",-84.7405144,41.1814388,4.3997081,51.2211097
Toronto,"Toronto, Ontario, Canada",-80.6009058,40.4642335,-79.3839347,43.6534817
Truro Township,"Truro, Nova Scotia, Canada",-82.80698629650246,39.9552092,-63.300006,45.366668
Canton,"Guangzhou, China",-81.3749508,40.7985464,113.2592945,23.1301964
Cairo,"Cairo, Egypt",-84.08198022439336,40.8331281,31.2357257,30.0443879
Belfort,"Belfort, France",-81.2453851,40.8122811,6.8628942,47.6379599
Pyrmont,"Bad Pyrmont, Germany",-84.4607823,39.8119978,9.2434635,51.9850503
Bonn,"Bonn, Germany",-81.3853969,39.5314626,7.10066,50.735851
Glandorf,"Glandorf, Germany",-84.0791193,41.0289961,8.0033646,52.081578
Leipsic,"Leipzig, Germany",-83.9846655,41.0983847,12.3747329,51.3406321
New Riegel,"Riegel, Germany",-83.318534,41.0514438,7.740185454385324,48.15925665
Winesburg,"Weinsberg, Germany",-81.6951284,40.6164495,9.2865471,49.1503044
Athens,"Athens, Greece",-82.1012479,39.3289242,23.7283052,37.9839412
Calcutta,"Calcutta, India",-80.56991771847152,40.685178,88.3638815,22.5726723
Mantua,"Mantua, Italy",-81.223991,41.283944,10.670836515673878,45.1692628
Milan,"Milano, Italy",-82.6054547,41.2975519,9.1905,45.4668
Padua,"Padua, Italy",-84.7838517,40.5083795,11.8734455,45.4077172
Parma,"Parma, Italy",-81.7355692,41.3822398,10.3280833,44.8013678
Ravenna,"Ravenna, Italy",-81.242047,41.157557,12.059009490863945,44.3640607
Matamoras,"Matamoros, Mexico",-81.06873959710815,39.5196735,-97.5017951,25.8520977
Parral,"Parral, Mexico",-81.4970623,40.5611743,-93.0029074,16.3692304
Mogadore,"Essaouira, Morocco",-81.393946,41.050775,-9.7620903,31.5118281
Amsterdam,"Amsterdam, Netherlands",-80.9228671,40.4736758,4.8936041,52.3727598
Lima,"Lima, Peru",-84.105006,40.7399785,-77.0365256,-12.0621065
Medina,"Medina, Saudi Arabia",-81.8637474,41.1383878,39.6111216,24.471153
Cadiz,"Cadiz, Spain",-80.9967628,40.2728452,-6.2928976,36.5297438
Carthagena,"Cartegena, Spain",-84.5599552,40.4367135,-0.4880777,38.3695979
Seville,"Seville, Spain",-81.86236,41.010055,-5.9953403,37.3886303
Toledo,"Toledo, Spain",-83.5378173,41.6529143,-4.0239568,39.8560679
Maria Stein,"Metzerlen-Mariastein, Switzerland",-84.4932862,40.4078249,7.4900151,47.476261
Bexley,"Bexley, United Kingdom",-82.936864,39.9692378,0.150488,51.4416793
Kimbolton,"Kimbolton, United Kingdom",-81.572065,40.1528489,-0.3813986697827069,52.30345885
Oxford,"Oxford, United Kingdom",-84.7420519,39.5103048,-1.2578499,51.7520131
Stockport,"Stockport, United Kingdom",-81.7929122,39.5484057,-2.160243,53.407901
Antrim,"Antrim, United Kingdom",-81.3584466,40.1203474,-6.2192038,54.715139
Berea,"Veria, Greece",-81.8543026,41.3661614,22.2036834,40.5215342
Cheviot,"Cheviot Hills, United Kingdom",-84.6132787,39.1570028,-2.1087863,52.5708442
Dublin,"Dublin, Ireland",-83.1140771,40.0992294,-6.2602732,53.3497645
East Liverpool,"Liverpool, United Kingdom",-80.5772928,40.6186756,-2.99168,53.4071991
Vienna,"Vienna, Austria",-80.6642432,41.2378345,16.3725042,48.2083537
Mecca Township,"Mecca, Saudi Arabia",-80.955388,40.714978,39.826869,21.420847
Delhi,"Delhi, India",-84.6052225,39.0950595,77.2219388,28.6517178
Warsaw,"Warsaw, Poland",-82.0069062,40.3353372,21.0067249,52.2319581
Strasburg,"Strasbourg, France",-81.5267864,40.5947844,7.7507127,48.584614
Lisbon,"Lisbon, Portugal",-80.7681336,40.7720044,-9.1365919,38.7077507
Damascus,"Damascus, Syria",-80.9550891,40.9020031,36.3095814,33.5130695
Dresden,"Dresden, Germany",-82.0106918,40.1214579,13.7381437,51.0493286
Versailles,"Versailles, France",-84.4844362,40.2225686,2.1266886,48.8035403
